LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
600001,Acton-Agua Dulce Unified,6,32248 N. Crown Valley Rd.,Acton,CA,93510,6,6037,Los Angeles County,34.472708000000004,-118.196768,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,625,06036,06021,2017-2018,42,53.48,6,"11, 12, 13, 21, 41, 42"
600002,California School for the Blind (State Special Schl),6,500 Walnut Ave.,Fremont,CA,94536,6,6001,Alameda County,37.562648,-121.96336,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,617,06020,06010,2017-2018,21,0.0,1,21
600003,California School for the Deaf-Fremont (State Special Schl),6,39350 Gallaudet Dr.,Fremont,CA,94538,6,6001,Alameda County,37.559633,-121.963038,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,617,06020,06010,2017-2018,21,0.0,1,21
600006,Ross Valley Elementary,6,110 Shaw Dr.,San Anselmo,CA,94960,6,6041,Marin County,37.98231,-122.562248,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,602,06010,06002,2017-2018,21,0.0,1,21
600007,California Sch for the Deaf-Riverside (State Special Schl),6,3044 Horace St.,Riverside,CA,92506,6,6065,Riverside County,33.94373,-117.379425,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,641,06061,06031,2017-2018,11,0.0,1,11
600009,Cuyama Joint Unified,6,2300 Highway 166,New Cuyama,CA,93254,6,6083,Santa Barbara County,34.932244000000004,-119.609259,42200,"Santa Maria-Santa Barbara, CA",1,N,N,N,N,624,06035,06019,2017-2018,43,11.96,2,"12, 43"
600011,Fort Sage Unified,6,100 DS Hall St.,Herlong,CA,96113,6,6035,Lassen County,40.141423,-120.135161,45000,"Susanville, CA",2,N,N,N,N,601,06001,06001,2017-2018,43,42.91,2,"33, 43"
600012,Twin Ridges Elementary,6,16661 Old Mill Rd.,Nevada City,CA,95959,6,6057,Nevada County,39.37401,-120.995031,46020,"Truckee-Grass Valley, CA",2,472,"Sacramento-Roseville, CA",N,N,601,06001,06001,2017-2018,42,9.18,2,"42, 43"
600013,Rocklin Unified,6,2615 Sierra Meadows Dr.,Rocklin,CA,95677,6,6061,Placer County,38.7918,-121.2225,40900,"Sacramento--Roseville--Arden-Arcade, CA",1,472,"Sacramento-Roseville, CA",N,N,604,06006,06001,2017-2018,21,2.01,2,"21, 41"
600014,Hesperia Unified,6,15576 Main St.,Hesperia,CA,92345,6,6071,San Bernardino County,34.4247,-117.3224,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,608,06033,06021,2017-2018,21,9.3,3,"12, 21, 41"
600015,Lucerne Valley Unified,6,8560 Aliento Rd.,Lucerne Valley,CA,92356,6,6071,San Bernardino County,34.41026,-116.907602,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,608,06033,06016,2017-2018,31,49.07,3,"21, 31, 42"
600016,Upland Unified,6,390 N. Euclid Ave.,Upland,CA,91786,6,6071,San Bernardino County,34.0982,-117.651,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,631,06041,06025,2017-2018,21,0.0,1,21
600017,Apple Valley Unified,6,12555 Navajo Rd.,Apple Valley,CA,92308,6,6071,San Bernardino County,34.479834000000004,-117.189595,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,608,06033,06021,2017-2018,21,14.89,2,"21, 41"
600018,Mountain Valley Unified,6,231 Oak Ave.,Hayfork,CA,96041,6,6105,Trinity County,40.551285,-123.17066,N,N,0,N,N,N,N,602,06002,06002,2017-2018,43,0.0,1,43
600019,Dublin Unified,6,7471 Larkdale Ave.,Dublin,CA,94568,6,6001,Alameda County,37.71698,-121.930801,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,615,06016,06007,2017-2018,21,16.96,2,"21, 41"
600020,Pleasanton Unified,6,4665 Bernal Ave.,Pleasanton,CA,94566,6,6001,Alameda County,37.65582,-121.876561,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,615,06016,06007,2017-2018,13,0.0,1,13
600021,Sunol Glen Unified,6,11601 Main St.,Sunol,CA,94586,6,6001,Alameda County,37.59261,-121.8845,41860,"San Francisco-Oakland-Hayward, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,615,06020,06007,2017-2018,41,0.0,1,41
600022,Mendota Unified,6,115 McCabe Ave.,Mendota,CA,93640,6,6019,Fresno County,36.760782,-120.388147,23420,"Fresno, CA",1,260,"Fresno-Madera, CA",N,N,621,06031,06012,2017-2018,32,47.89,2,"32, 41"
600025,Manhattan Beach Unified,6,325 S. Peck Ave.,Manhattan Beach,CA,90266,6,6037,Los Angeles County,33.876653000000005,-118.388569,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,633,06066,06026,2017-2018,21,0.0,1,21
