State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,6,1620,ABC Unified School District,"109,825","17,646","2,410"
CA,6,1650,Acalanes Union High School District,"118,221","6,027",160
CA,6,1680,Ackerman Elementary School District,"2,855",272,26
CA,6,1,Acton-Agua Dulce Unified School District,"13,044","1,929",159
CA,6,1710,Adelanto Elementary School District,"60,160","7,082","2,248"
CA,6,1770,Alameda City Unified School District,"81,286","11,313",892
CA,6,1860,Albany City Unified School District,"20,426","3,276",165
CA,6,1890,Alexander Valley Union School District,915,52,2
CA,6,153,Alhambra Unified School District,"175,264","17,101","3,348"
CA,6,1950,Alisal Union Elementary School District,"60,430","8,149","1,726"
CA,6,1980,Allensworth Elementary School District,500,97,35
CA,6,2010,Alpaugh Unified School District,"1,411",374,136
CA,6,2070,Alpine County Unified School District,"1,120",159,45
CA,6,2100,Alpine Union Elementary School District,"19,700","2,170",162
CA,6,2160,Alta Loma Elementary School District,"57,654","6,123",633
CA,6,2220,Alta Vista Elementary School District,"3,207",528,249
CA,6,2250,Alta-Dutch Flat Union Elementary School District,"1,979",147,48
CA,6,2310,Alum Rock Union Elementary School District,"119,834","15,558","2,537"
CA,6,2360,Alview-Dairyland Union Elementary School District,"1,859",269,71
CA,6,2370,Alvina Elementary School District,688,110,32
CA,6,2430,Alvord Unified School District,"116,132","22,864","3,632"
CA,6,2450,Amador County Unified School District,"38,626","4,271",635
CA,6,2610,Anaheim Elementary School District,"208,150","20,438","4,940"
CA,6,2630,Anaheim Union High School District,"410,401","35,296","7,153"
CA,6,2700,Anderson Union High School District,"38,951","2,249",435
CA,6,2730,Anderson Valley Unified School District,"2,975",529,126
CA,6,2760,Antelope Elementary School District,"5,746",559,158
CA,6,2820,Antelope Valley Union Joint High School District,"386,613","27,346","5,272"
CA,6,2850,Antioch Unified School District,"116,946","22,704","3,525"
CA,6,17,Apple Valley Unified School District,"82,358","15,406","3,602"
CA,6,2970,Arcadia Unified School District,"59,799","9,249",955
CA,6,3000,Arcata Elementary School District,"14,778",814,301
CA,6,3060,Arcohe Union Elementary School District,"4,980",550,52
CA,6,3090,Arena Union Elementary School District,"3,260",288,66
CA,6,3180,Armona Union Elementary School District,"6,546","1,123",242
CA,6,91136,Aromas-San Juan Unified School District,"9,531","1,503",178
CA,6,3270,Arvin Union School District,"21,024","3,809","1,273"
CA,6,3300,Atascadero Unified School District,"37,637","5,447",405
CA,6,3420,Atwater Elementary School District,"36,162","5,084","1,591"
CA,6,3480,Auburn Union Elementary School District,"36,523","3,237",390
CA,6,3600,Azusa Unified School District,"69,181","12,054","2,264"
CA,6,3610,Baker Valley Unified School District,"1,031",220,51
CA,6,3630,Bakersfield City School District,"197,765","30,146","11,844"
CA,6,3690,Baldwin Park Unified School District,"77,304","15,097","3,227"
CA,6,3720,Ballard Elementary School District,"1,513",150,7
CA,6,3750,Ballico-Cressey Elementary School District,"2,218",318,123
CA,6,3780,Bangor Union Elementary School District,"1,304",141,35
CA,6,3840,Banning Unified School District,"37,047","5,779","1,500"
CA,6,3870,Banta Elementary School District,"5,663",233,40
CA,6,4020,Barstow Unified School District,"35,605","6,633","2,448"
CA,6,4080,Bass Lake Joint Union Elementary School District,"12,546","1,079",269
CA,6,4110,Bassett Unified School District,"28,047","5,232","1,001"
CA,6,4200,Bayshore Elementary School District,"6,163",706,63
CA,6,4230,Bear Valley Unified School District,"19,638","2,866",486
CA,6,4260,Beardsley Elementary School District,"18,160","1,984",737
CA,6,4290,Beaumont Unified School District,"52,838","9,036",951
CA,6,4350,Bella Vista Elementary School District,"3,840",357,67
CA,6,4500,Belleview Elementary School District,"1,725",132,21
CA,6,4380,Bellevue Union School District,"25,564","2,607",391
CA,6,4440,Bellflower Unified School District,"84,178","14,946","2,462"
CA,6,4530,Belmont-Redwood Shores Elementary School District,"43,812","4,399",136
CA,6,4560,Belridge Elementary School District,127,24,3
CA,6,4620,Benicia Unified School District,"29,244","4,889",242
CA,6,4650,Bennett Valley Union Elementary School District,"9,917",713,48
CA,6,4740,Berkeley Unified School District,"123,816","9,892",724
CA,6,4800,Berryessa Union Elementary School District,"86,424","9,355",786
CA,6,4830,Beverly Hills Unified School District,"35,174","4,878",563
CA,6,4860,Big Creek Elementary School District,472,69,12
CA,6,4890,Big Lagoon Union Elementary School District,462,33,4
CA,6,91137,Big Oak Flat-Groveland Unified School District,"5,230",575,85
CA,6,4950,Big Pine Unified School District,"1,808",230,39
CA,6,4980,Big Springs Union Elementary School District,"1,762",178,40
CA,6,31,Big Sur Unified School District,467,26,3
CA,6,5010,Big Valley Joint Unified School District,"1,626",236,32
CA,6,5040,Biggs Unified School District,"3,634",705,214
CA,6,1409,Bishop Unified School District,"12,624","1,866",291
CA,6,5190,Bitterwater-Tully Union Elementary School District,134,10,2
CA,6,5220,Black Butte Union Elementary School District,"4,433",295,58
CA,6,5240,Black Oak Mine Unified School District,"14,168","1,897",214
CA,6,5250,Blake Elementary School District,180,11,0
CA,6,5280,Blochman Union Elementary School District,774,78,12
CA,6,5400,Blue Lake Union Elementary School District,"2,513",230,36
CA,6,5490,Bogus Elementary School District,360,20,6
CA,6,5520,Bolinas-Stinson Union Elementary School District,"2,417",165,33
CA,6,5610,Bonita Unified School District,"63,450","9,504",834
CA,6,5640,Bonny Doon Union Elementary School District,"3,084",184,17
CA,6,1426,Bonsall Unified School District,"18,458","2,837",351
CA,6,5700,Borrego Springs Unified School District,"4,172",507,90
CA,6,5730,Bradley Union Elementary School District,465,40,6
CA,6,5790,Brawley Elementary School District,"26,885","3,942","1,124"
CA,6,5820,Brawley Union High School District,"29,958","2,054",426
CA,6,5880,Brea-Olinda Unified School District,"36,985","5,882",498
CA,6,5910,Brentwood Union Elementary School District,"59,685","9,033",741
CA,6,5940,Bret Harte Union High School District,"19,646",783,139
CA,6,6000,Bridgeville Elementary School District,560,47,9
CA,6,6030,Briggs Elementary School District,"2,810",345,58
CA,6,6060,Brisbane Elementary School District,"8,954",744,34
CA,6,6090,Brittan Elementary School District,"3,638",439,45
CA,6,6100,Browns Elementary School District,976,112,11
CA,6,6270,Buckeye Union Elementary School District,"37,867","4,811",281
CA,6,6330,Buellton Union Elementary School District,"5,949",698,48
CA,6,6360,Buena Park Elementary School District,"50,709","5,883","1,397"
CA,6,6420,Buena Vista Elementary School District,453,72,19
CA,6,6450,Burbank Unified School District,"106,984","14,057","1,490"
CA,6,6480,Burlingame Elementary School District,"32,107","3,357",171
CA,6,6510,Burnt Ranch Elementary School District,741,48,14
CA,6,6540,Burrel Union Elementary School District,555,95,34
CA,6,6570,Burton Elementary School District,"17,844","2,969",681
CA,6,6580,Butte Valley Unified School District,"1,989",350,92
CA,6,6690,Butteville Union Elementary School District,"1,704",179,22
CA,6,6720,Buttonwillow Union Elementary School District,"2,270",406,149
CA,6,6750,Byron Union Elementary School District,"16,360","2,139",240
CA,6,6780,Cabrillo Unified School District,"27,306","4,291",198
CA,6,6810,Cajon Valley Union Elementary School District,"173,535","18,940","4,736"
CA,6,6870,Calaveras Unified School District,"26,024","3,565",773
CA,6,6900,Calexico Unified School District,"40,905","8,947","3,085"
CA,6,6960,Caliente Union Elementary School District,973,93,23
CA,6,6990,Calipatria Unified School District,"10,880","1,242",429
CA,6,7020,Calistoga Joint Unified School District,"7,313","1,002",73
CA,6,7140,Cambrian Elementary School District,"32,850","3,480",163
CA,6,7170,Camino Union Elementary School District,"4,491",425,39
CA,6,7200,Campbell Union Elementary School District,"102,791","9,810",827
CA,6,7230,Campbell Union High School District,"239,748","10,479",635
CA,6,7260,Camptonville Elementary School District,788,62,15
CA,6,7350,Canyon Elementary School District,255,20,0
CA,6,7410,Capay Joint Union Elementary School District,"1,050",113,26
CA,6,7440,Capistrano Unified School District,"362,235","61,023","4,704"
CA,6,7470,Cardiff Elementary School District,"12,012",794,73
CA,6,7500,Carlsbad Unified School District,"76,420","11,955",850
CA,6,7530,Carmel Unified School District,"24,246","3,003",177
CA,6,7560,Carpinteria Unified School District,"18,961","2,733",380
CA,6,67,Caruthers Unified School District,"9,490","1,439",433
CA,6,7680,Cascade Union Elementary School District,"15,318","1,758",564
CA,6,7740,Castaic Union School District,"31,484","2,529",225
CA,6,7770,Castle Rock Union Elementary School District,363,35,3
CA,6,7800,Castro Valley Unified School District,"54,327","9,374",478
CA,6,7840,Cayucos Elementary School District,"3,021",205,32
CA,6,7900,Center Joint Unified School District,"29,649","6,132",932
CA,6,7920,Centinela Valley Union High School District,"156,241","8,992","1,870"
CA,6,7950,Central Elementary School District,"41,724","4,876",778
CA,6,7970,Central Unified School District,"74,455","16,509","3,614"
CA,6,7980,Central Union Elementary School District,"10,699","1,648",328
CA,6,8010,Central Union High School District,"60,573","4,095",939
CA,6,8070,Centralia Elementary School District,"58,192","4,708",828
CA,6,8130,Ceres Unified School District,"57,385","12,336","2,262"
CA,6,8160,Chaffey Joint Union High School District,"419,942","26,702","3,471"
CA,6,8190,Charter Oak Unified School District,"37,895","6,089",878
CA,6,8250,Chatom Union Elementary School District,"4,749",687,122
CA,6,116,Chawanakee Unified School District,"4,876",699,109
CA,6,8340,Chicago Park Elementary School District,"1,217",81,8
CA,6,8370,Chico Unified School District,"111,707","15,077","2,558"
CA,6,8460,Chino Valley Unified School District,"183,203","33,310","3,826"
CA,6,8520,Chowchilla Elementary School District,"22,780","2,402",707
CA,6,8550,Chowchilla Union High School District,"24,639","1,117",308
CA,6,8580,Chualar Union Elementary School District,"2,228",397,68
CA,6,8610,Chula Vista Elementary School District,"301,936","28,904","4,139"
CA,6,8640,Cienega Union Elementary School District,182,11,2
CA,6,8700,Cinnabar Elementary School District,"2,699",251,24
CA,6,8760,Claremont Unified School District,"42,668","5,863",746
CA,6,8850,Clay Joint Elementary School District,530,62,10
CA,6,8880,Clear Creek Elementary School District,"1,735",144,21
CA,6,8970,Cloverdale Unified School District,"11,131","1,639",158
CA,6,9030,Clovis Unified School District,"203,253","39,584","4,859"
CA,6,9070,Coachella Valley Unified School District,"94,381","21,508","6,237"
CA,6,9120,Coalinga-Huron Unified School District,"27,930","4,822","1,354"
CA,6,49,Coast Unified School District,"10,322",865,135
CA,6,9240,Coffee Creek Elementary School District,220,11,3
CA,6,9270,Cold Spring Elementary School District,"3,117",170,13
CA,6,9300,Colfax Elementary School District,"5,865",563,108
CA,6,9330,College Elementary School District,"6,158",503,42
CA,6,9390,Colton Joint Unified School District,"119,728","24,381","5,207"
CA,6,9450,Columbia Elementary School District,"9,908","1,057",126
CA,6,9480,Columbia Union Elementary School District,"6,069",581,88
CA,6,9510,Columbine Elementary School District,275,44,12
CA,6,9570,Colusa Unified School District,"7,853","1,499",183
CA,6,9620,Compton Unified School District,"160,212","33,188","8,869"
CA,6,9640,Conejo Valley Unified School District,"139,972","23,538","1,528"
CA,6,9690,Corcoran Joint Unified School District,"25,709","3,380","1,192"
CA,6,9780,Corning Union Elementary School District,"14,753","1,922",749
CA,6,9810,Corning Union High School District,"17,298","1,113",289
CA,6,9850,Corona-Norco Unified School District,"283,522","55,975","5,567"
CA,6,9870,Coronado Unified School District,"26,635","2,936",166
CA,6,9940,Cotati-Rohnert Park Unified School District,"54,453","7,373",650
CA,6,9990,Cottonwood Union Elementary School District,"8,764","1,030",215
CA,6,10050,Covina-Valley Unified School District,"80,029","13,585","1,883"
CA,6,16300,Cucamonga Elementary School District,"28,817","3,248",644
CA,6,10230,Cuddeback Union Elementary School District,898,94,17
CA,6,10260,Culver City Unified School District,"40,461","4,810",410
