LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,36,38 SLAWSON ST,DOLGEVILLE,NY,13329,36,36043,Herkimer County,43.103969,-74.779021,46540,"Utica-Rome, NY",1,N,N,N,N,3621,36118,36049,2017-2018,42,0.0,1,42
3600002,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,36,2601 ONEIDA ST,SAUQUOIT,NY,13456,36,36065,Oneida County,42.987929,-75.254474,46540,"Utica-Rome, NY",1,N,N,N,N,3622,36101,36047,2017-2018,41,0.0,1,41
3600003,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,36,2512 COUNTY ROUTE 24,HERMON,NY,13652,36,36089,St. Lawrence County,44.363946,-75.201145,36300,"Ogdensburg-Massena, NY",2,N,N,N,N,3621,36117,36047,2017-2018,43,0.0,1,43
3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,36,2072 CURRY RD,SCHENECTADY,NY,12303,36,36093,Schenectady County,42.768878,-73.956954,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36111,36046,2017-2018,21,0.0,1,21
3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,36,20 PINE ST,BROADALBIN,NY,12025,36,36035,Fulton County,43.057500000000005,-74.1876,24100,"Gloversville, NY",2,104,"Albany-Schenectady, NY",N,N,3621,36118,36049,2017-2018,42,0.0,1,42
3600006,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,36,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,36,36077,Otsego County,42.817222,-74.768212,36580,"Oneonta, NY",2,N,N,N,N,3619,36102,36051,2017-2018,42,0.0,1,42
3600007,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,36,3769 STATE RT 417,JASPER,NY,14855,36,36101,Steuben County,42.124017,-77.504174,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36148,36058,2017-2018,43,0.0,1,43
3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,36,189 DUNTON AVE,EAST PATCHOGUE,NY,11772,36,36103,Suffolk County,40.762179,-72.961686,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2017-2018,21,0.0,1,21
3600009,SARANAC CENTRAL SCHOOL DISTRICT,36,32 EMMONS ST,DANNEMORA,NY,12929,36,36019,Clinton County,44.7126,-73.72160000000001,38460,"Plattsburgh, NY",2,N,N,N,N,3621,36115,36045,2017-2018,42,22.7,2,"32, 42"
3600010,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,36,155 WASHINGTON AVE,COBLESKILL,NY,12043,36,36095,Schoharie County,42.680800000000005,-74.4923,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36102,36051,2017-2018,32,32.58,2,"32, 41"
