LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
4200001,Bedford County Technical Center,42,195 Pennknoll Road,Everett,PA,15537,42,42009,Bedford County,40.022804,-78.437026,N,N,0,N,N,N,N,4209,42078,42035,2017-2018,41,0.0,1,41
4200003,Susquehanna County CTC,42,2380 Elk Lake School Road,Springville,PA,18844,42,42115,Susquehanna County,41.7386,-75.9558,N,N,0,N,N,N,N,4210,42110,42023,2017-2018,42,0.0,1,42
4200007,Fulton County AVTS,42,145 East Cherry Street,McConnellsburg,PA,17233,42,42057,Fulton County,39.929177,-77.999026,N,N,0,N,N,N,N,4209,42078,42030,2017-2018,42,0.0,1,42
4200011,Keystone Education Center CS,42,425 South Good Hope Rd.,Greenville,PA,16125,42,42085,Mercer County,41.399107,-80.44654200000001,49660,"Youngstown-Warren-Boardman, OH-PA",1,566,"Youngstown-Warren, OH-PA",N,N,4203,42007,42050,2017-2018,41,0.0,1,41
4200012,Chester Co Family Academy CS,42,530 E. Union Street,West Chester,PA,19382,42,42029,Chester County,39.96026,-75.59477100000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4206,42156,42019,2017-2018,21,0.0,1,21
4200013,Community Academy of Philadelphia CS,42,1100 E Erie Ave,Philadelphia,PA,19124,42,42101,Philadelphia County,40.004516,-75.106696,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42180,42002,2017-2018,11,0.0,1,11
4200014,Harambee Institute of Science and Technology CS,42,640 N 66th St,Philadelphia,PA,19151,42,42101,Philadelphia County,39.973303,-75.251942,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42192,42007,2017-2018,11,0.0,1,11
4200015,World Communications CS,42,512-20 S Broad St.,Philadelphia,PA,19146,42,42101,Philadelphia County,39.943929,-75.16578700000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42186,42001,2017-2018,11,0.0,1,11
4200016,Youth Build Phila CS,42,1231 N Broad St,Philadelphia,PA,19122,42,42101,Philadelphia County,39.9729,-75.158631,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42181,42001,2017-2018,11,0.0,1,11
4200017,Manchester Academic CS,42,1214 Liverpool St,Pittsburgh,PA,15233,42,42003,Allegheny County,40.456757,-80.02483600000001,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42019,42042,2017-2018,11,0.0,1,11
4200018,Urban Pathways 6-12 CS,42,914 Penn Ave,Pittsburgh,PA,15222,42,42003,Allegheny County,40.44413,-79.99746,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42019,42042,2017-2018,11,0.0,1,11
4200019,Urban Academy of Greater Pittsburgh CS,42,437 Turett Street,Pittsburgh,PA,15206,42,42003,Allegheny County,40.462363,-79.909825,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42024,42038,2017-2018,11,0.0,1,11
4200020,Robert Benjamin Wiley Community CS,42,1446 East Lake Rd,Erie,PA,16507,42,42049,Erie County,42.142217,-80.05477400000001,21500,"Erie, PA",1,240,"Erie-Meadville, PA",N,N,4203,42001,42049,2017-2018,13,0.0,1,13
4200021,Dr Robert Ketterer CS Inc,42,1133 Village Way,Latrobe,PA,15650,42,42129,Westmoreland County,40.307590000000005,-79.392951,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42055,42039,2017-2018,21,0.0,1,21
4200022,Cresson Secure Treatment Unit,42,251 Corrections Road,Cresson,PA,16630,42,42021,Cambria County,40.45787,-78.564001,27780,"Johnstown, PA",1,306,"Johnstown-Somerset, PA",N,N,4209,42072,42035,2017-2018,41,-2.0,-2,N
4200023,Centre Learning Community CS,42,2643 W College Ave,State College,PA,16801,42,42027,Centre County,40.76693,-77.883796,44300,"State College, PA",1,524,"State College-DuBois, PA",N,N,4205,42171,42034,2017-2018,23,0.0,1,23
4200024,Nittany Valley CS,42,1612 Norma St,State College,PA,16801,42,42027,Centre County,40.78289,-77.841151,44300,"State College, PA",1,524,"State College-DuBois, PA",N,N,4205,42077,42034,2017-2018,13,0.0,1,13
4200025,South Mountain Secure Trmnt Unit,42,10056 S Mountain Rd,South Mountain,PA,17261,42,42055,Franklin County,39.844202,-77.495645,16540,"Chambersburg-Waynesboro, PA",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,4209,42090,42033,2017-2018,41,0.0,1,41
4200026,La Academia Partnership Charter School,42,30 N Ann St,Lancaster,PA,17602,42,42071,Lancaster County,40.039764,-76.2954,29540,"Lancaster, PA",1,N,N,N,N,4216,42096,42013,2017-2018,13,0.0,1,13
4200027,Sylvan Heights Science CS,42,915 S 13th St,Harrisburg,PA,17104,42,42043,Dauphin County,40.25349,-76.86399,25420,"Harrisburg-Carlisle, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4211,42103,42015,2017-2018,13,0.0,1,13
4200028,Susq-Cyber CS,42,240 Market Street,Bloomsburg,PA,17815,42,42037,Columbia County,41.001433,-76.457627,14100,"Bloomsburg-Berwick, PA",1,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4211,42109,42027,2017-2018,13,0.0,1,13
4200030,School Lane CS,42,2400 Bristol Pike,Bensalem,PA,19020,42,42017,Bucks County,40.079658,-74.94831,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4208,42018,42006,2017-2018,21,0.0,1,21
4200035,Chester Community CS,42,302 East 5th St,Chester,PA,19013,42,42045,Delaware County,39.849601,-75.35700200000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42159,42009,2017-2018,21,0.0,1,21
4200036,Preparatory CS of Mathematics Science Tech and Careers,42,1928 Point Breeze Ave,Philadelphia,PA,19145,42,42101,Philadelphia County,39.92846,-75.186841,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42186,42008,2017-2018,11,0.0,1,11
4200038,Imhotep Institute CHS,42,6201 N. 21st St.,Philadelphia,PA,19138,42,42101,Philadelphia County,40.049240000000005,-75.154611,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42201,42004,2017-2018,11,0.0,1,11
4200039,Alliance for Progress CS,42,1821-39 Cecil B Moore Ave,Philadelphia,PA,19121,42,42101,Philadelphia County,39.979859000000005,-75.165431,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42181,42003,2017-2018,11,0.0,1,11
4200040,Multicultural Academy CS,42,3821 North Broad Street,Philadelphia,PA,19140,42,42101,Philadelphia County,40.01111,-75.15064100000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42197,42003,2017-2018,11,0.0,1,11
4200041,West Oak Lane CS,42,7115 Stenton Ave,Philadelphia,PA,19138,42,42101,Philadelphia County,40.059508,-75.163415,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42203,42004,2017-2018,11,0.0,1,11
4200042,Inquiry Charter School,42,1301 Belmont Avenue,Philadelphia,PA,19104,42,42101,Philadelphia County,39.97476,-75.21243100000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42190,42007,2017-2018,11,0.0,1,11
4200043,Eugenio Maria De Hostos CS,42,6301 N 2nd Street,Philadelphia,PA,19120,42,42101,Philadelphia County,40.046608,-75.123259,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4213,42203,42003,2017-2018,11,0.0,1,11
4200044,Laboratory CS,42,Administrative Office,Philadelphia,PA,19131,42,42101,Philadelphia County,39.988226,-75.243097,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42192,42007,2017-2018,11,0.0,1,11
4200047,Wonderland CS,42,2112 Sandy Dr,State College,PA,16803,42,42027,Centre County,40.784634,-77.903149,44300,"State College, PA",1,524,"State College-DuBois, PA",N,N,4205,42171,42034,2017-2018,23,0.0,1,23
4200048,Crispus Attucks CS,42,605 S Duke St.,York,PA,17403,42,42133,York County,39.954857,-76.721548,49620,"York-Hanover, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4204,42095,42028,2017-2018,13,0.0,1,13
4200049,Danville Ctr Adolescent Female,42,13 Kirkbride Drive,Danville,PA,17821,42,42093,Montour County,40.948012,-76.59817600000001,14100,"Bloomsburg-Berwick, PA",1,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4211,42107,42027,2017-2018,23,0.0,1,23
4200050,Collegium CS,42,535 James Hance Court,Exton,PA,19341,42,42029,Chester County,40.01991,-75.660071,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4206,42167,42019,2017-2018,21,0.0,1,21
4200051,MAST Community Charter School,42,1800 E Byberry Rd,Philadelphia,PA,19116,42,42101,Philadelphia County,40.113595,-75.006234,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4213,42170,42005,2017-2018,11,0.0,1,11
4200052,Christopher Columbus CS,42,916 Christian St,Philadelphia,PA,19147,42,42101,Philadelphia County,39.939034,-75.158472,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42182,42001,2017-2018,11,0.0,1,11
4200053,Charter High School for Architecture and Design,42,105 S. 7th St,Philadelphia,PA,19106,42,42101,Philadelphia County,39.94885,-75.15199100000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42175,42001,2017-2018,11,0.0,1,11
4200055,Universal Institute CS,42,801 S 15th St,Philadelphia,PA,19146,42,42101,Philadelphia County,39.94079,-75.167731,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42186,42001,2017-2018,11,0.0,1,11
4200056,Math Civics and Sciences CS,42,447 N Broad St,Philadelphia,PA,19123,42,42101,Philadelphia County,39.961186000000005,-75.161247,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42175,42001,2017-2018,11,0.0,1,11
4200058,Young Scholars CS,42,900 N Marshall St,Philadelphia,PA,19123,42,42101,Philadelphia County,39.9678,-75.148251,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4201,42181,42001,2017-2018,11,0.0,1,11
4200060,Freire CS,42,2027 Chestnut Street,Philadelphia,PA,19103,42,42101,Philadelphia County,39.952352000000005,-75.174493,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42182,42001,2017-2018,11,0.0,1,11
4200061,Philadelphia Academy CS,42,11000 Roosevelt Blvd,Philadelphia,PA,19116,42,42101,Philadelphia County,40.10394,-75.00989700000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4213,42170,42005,2017-2018,11,0.0,1,11
