State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
TX,48,7380,Abbott Independent School District,"1,109",209,24
TX,48,7410,Abernathy Independent School District,"3,398",752,146
TX,48,7440,Abilene Independent School District,"105,982","17,640","4,135"
TX,48,7470,Academy Independent School District,"5,626","1,166",122
TX,48,7500,Adrian Independent School District,283,34,4
TX,48,7530,Agua Dulce Independent School District,"1,606",336,69
TX,48,7590,Alamo Heights Independent School District,"33,020","5,626",395
TX,48,7650,Alba-Golden Independent School District,"5,656",915,179
TX,48,7680,Albany Independent School District,"2,551",489,86
TX,48,7710,Aldine Independent School District,"300,105","66,887","20,126"
TX,48,7780,Aledo Independent School District,"23,163","5,393",298
TX,48,7800,Alice Independent School District,"25,670","5,082","1,950"
TX,48,7830,Alief Independent School District,"291,578","55,242","15,698"
TX,48,7890,Allen Independent School District,"101,461","22,836",878
TX,48,7950,Alpine Independent School District,"7,785","1,066",216
TX,48,7980,Alto Independent School District,"3,737",690,208
TX,48,11,Alvarado Independent School District,"19,512","3,643",577
TX,48,8090,Alvin Independent School District,"100,346","19,412","2,549"
TX,48,8100,Alvord Independent School District,"4,065",759,72
TX,48,8130,Amarillo Independent School District,"176,757","33,251","6,815"
TX,48,8160,Amherst Independent School District,913,191,54
TX,48,8190,Anahuac Independent School District,"8,005","1,447",235
TX,48,8230,Anderson-Shiro Consolidated Independent School District,"3,548",611,83
TX,48,8280,Andrews Independent School District,"17,722","3,904",654
TX,48,8310,Angleton Independent School District,"44,932","7,365","1,055"
TX,48,8340,Anna Independent School District,"13,863","2,878",214
TX,48,8400,Anson Independent School District,"3,601",636,141
TX,48,8430,Anthony Independent School District,"5,433",719,185
TX,48,8460,Anton Independent School District,"1,469",290,72
TX,48,8490,Apple Springs Independent School District,"1,213",199,89
TX,48,8520,Aquilla Independent School District,"1,332",203,27
TX,48,8550,Aransas County Independent School District,"23,180","3,113",864
TX,48,8580,Aransas Pass Independent School District,"11,605","1,928",582
TX,48,8610,Archer City Independent School District,"2,938",472,95
TX,48,8670,Argyle Independent School District,"9,851","2,342",80
TX,48,8700,Arlington Independent School District,"386,776","71,755","13,552"
TX,48,8730,Arp Independent School District,"5,827",954,189
TX,48,6,Aspermont Independent School District,"1,342",211,40
TX,48,8870,Athens Independent School District,"22,790","3,664",838
TX,48,8880,Atlanta Independent School District,"10,370","1,770",643
TX,48,8910,Aubrey Independent School District,"11,089","2,240",145
TX,48,8940,Austin Independent School District,"762,148","103,117","17,102"
TX,48,9000,Austwell-Tivoli Independent School District,832,127,60
TX,48,9030,Avalon Independent School District,950,165,22
TX,48,9060,Avery Independent School District,"1,532",247,50
TX,48,9090,Avinger Independent School District,"1,172",148,28
TX,48,9150,Axtell Independent School District,"3,336",653,184
TX,48,9200,Azle Independent School District,"41,406","7,195","1,018"
TX,48,9280,Baird Independent School District,"2,504",356,91
TX,48,9300,Ballinger Independent School District,"5,347",976,238
TX,48,9330,Balmorhea Independent School District,776,146,21
TX,48,9360,Bandera Independent School District,"18,891","2,378",482
TX,48,9390,Bangs Independent School District,"6,152",986,172
TX,48,9410,Banquete Independent School District,"4,222",838,151
TX,48,9450,Barbers Hill Independent School District,"17,019","3,880",322
TX,48,9540,Bartlett Independent School District,"4,426",505,85
TX,48,9570,Bastrop Independent School District,"53,311","10,181","1,750"
TX,48,9630,Bay City Independent School District,"20,279","3,752","1,028"
TX,48,9670,Beaumont Independent School District,"134,152","21,426","6,493"
TX,48,9690,Beckville Independent School District,"2,584",509,95
TX,48,9720,Beeville Independent School District,"27,330","3,990","1,291"
TX,48,9750,Bellevue Independent School District,805,141,21
TX,48,9780,Bells Independent School District,"4,052",780,95
TX,48,9810,Bellville Independent School District,"13,199","2,218",359
TX,48,9860,Belton Independent School District,"50,627","9,898","1,205"
TX,48,9870,Ben Bolt-Palito Blanco Independent School District,"2,573",610,116
TX,48,99130,Benavides Independent School District,"2,119",364,121
TX,48,9980,Benjamin Independent School District,343,61,13
TX,48,10140,Big Sandy Independent School District,"4,523",812,165
TX,48,10170,Big Sandy Independent School District,"2,512",495,127
TX,48,10200,Big Spring Independent School District,"29,867","4,453","1,050"
TX,48,10230,Birdville Independent School District,"148,724","26,127","3,810"
TX,48,10260,Bishop Consolidated Independent School District,"5,696","1,105",215
TX,48,5,Blackwell Consolidated Independent School District,"1,015",167,36
TX,48,10320,Blanco Independent School District,"7,584","1,104",183
TX,48,10350,Bland Independent School District,"3,515",749,182
TX,48,10380,Blanket Independent School District,"1,242",228,32
TX,48,10440,Bloomburg Independent School District,"1,354",226,55
TX,48,10470,Blooming Grove Independent School District,"4,396",827,160
TX,48,10500,Bloomington Independent School District,"4,353",920,249
TX,48,10590,Blue Ridge Independent School District,"4,003",703,80
TX,48,10620,Bluff Dale Independent School District,937,99,13
TX,48,10650,Blum Independent School District,"1,825",340,43
TX,48,10710,Boerne Independent School District,"44,487","8,404",641
TX,48,10740,Boles Independent School District,755,208,40
TX,48,10780,Boling Independent School District,"4,280",805,130
TX,48,10800,Bonham Independent School District,"15,410","2,251",416
TX,48,10830,Booker Independent School District,"1,755",382,49
TX,48,10860,Borden County Independent School District,693,107,19
TX,48,10890,Borger Independent School District,"14,007","2,728",441
TX,48,10910,Bosqueville Independent School District,"2,336",441,62
TX,48,10950,Bovina Independent School District,"2,185",475,82
TX,48,10990,Bowie Independent School District,"10,368","1,690",337
TX,48,11010,Boyd Independent School District,"6,439","1,067",121
TX,48,11040,Boys Ranch Independent School District,291,110,11
