Table with column headers in row 3,,,,,,
"2017 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2018",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00190,Alabaster City School District,"34,015","6,703",860
AL,01,00005,Albertville City School District,"21,786","4,115","1,546"
AL,01,00030,Alexander City City School District,"17,073","2,659",832
AL,01,00060,Andalusia City School District,"8,854","1,444",386
AL,01,00090,Anniston City School District,"22,350","3,184","1,106"
AL,01,00100,Arab City School District,"8,305","1,520",329
AL,01,00120,Athens City School District,"24,963","3,948",685
AL,01,00180,Attalla City School District,"5,952",927,280
AL,01,00210,Auburn City School District,"61,570","7,322",888
AL,01,00240,Autauga County School District,"55,504","9,990","1,842"
AL,01,00270,Baldwin County School District,"212,628","34,538","4,871"
AL,01,00300,Barbour County School District,"13,182","1,686",726
AL,01,00330,Bessemer City School District,"27,717","4,783","1,510"
AL,01,00360,Bibb County School District,"22,668","3,340",870
AL,01,00390,Birmingham City School District,"212,367","30,514","10,796"
AL,01,00420,Blount County School District,"51,356","9,052","1,573"
AL,01,00012,Boaz City School District,"9,666","1,761",496
AL,01,00450,Brewton City School District,"5,285",883,312
AL,01,00480,Bullock County School District,"10,309","1,512",732
AL,01,00510,Butler County School District,"19,825","3,341","1,049"
AL,01,00540,Calhoun County School District,"54,946","9,502","1,707"
AL,01,00600,Chambers County School District,"27,327","4,165","1,115"
AL,01,00630,Cherokee County School District,"25,857","3,882",896
AL,01,00188,Chickasaw City School District,"6,113","1,003",428
AL,01,00660,Chilton County School District,"44,067","7,771","1,645"
AL,01,00690,Choctaw County School District,"12,945","1,899",643
AL,01,00720,Clarke County School District,"18,590","3,007","1,006"
AL,01,00750,Clay County School District,"13,367","2,061",493
AL,01,00780,Cleburne County School District,"14,538","2,517",527
AL,01,00810,Coffee County School District,"19,362","3,369",672
AL,01,00840,Colbert County School District,"23,691","3,558",786
AL,01,00870,Conecuh County School District,"12,469","1,893",781
AL,01,00900,Coosa County School District,"10,754","1,301",337
AL,01,00930,Covington County School District,"21,699","3,350",744
AL,01,00960,Crenshaw County School District,"13,871","2,396",613
AL,01,00990,Cullman City School District,"15,102","2,332",499
AL,01,01020,Cullman County School District,"67,625","11,209","1,931"
AL,01,01050,Dale County School District,"14,944","2,393",548
AL,01,01080,Daleville City School District,"11,272","1,774",441
AL,01,01110,Dallas County School District,"20,639","3,710","1,350"
AL,01,01140,DeKalb County School District,"57,416","10,665","2,799"
AL,01,01170,Decatur City School District,"55,482","9,210","2,158"
AL,01,01200,Demopolis City School District,"6,891","1,173",395
AL,01,01230,Dothan City School District,"67,524","11,373","2,848"
AL,01,01260,Elba City School District,"5,378",845,221
AL,01,01290,Elmore County School District,"74,317","12,261","1,921"
AL,01,01320,Enterprise City School District,"27,597","4,896","1,069"
AL,01,01350,Escambia County School District,"32,162","5,224","1,636"
AL,01,01380,Etowah County School District,"59,410","9,799","1,982"
AL,01,01410,Eufaula City School District,"12,088","2,257","1,178"
AL,01,01440,Fairfield City School District,"11,125","1,882",565
AL,01,01470,Fayette County School District,"15,220","2,354",609
AL,01,01530,Florence City School District,"39,443","5,159","1,103"
AL,01,01560,Fort Payne City School District,"14,201","2,584",669
AL,01,00001,Fort Rucker School District,"4,552",881,98
AL,01,01590,Franklin County School District,"21,726","3,868",913
AL,01,01620,Gadsden City School District,"36,311","5,422","2,057"
AL,01,01640,Geneva City School District,"6,203","1,000",398
AL,01,01660,Geneva County School District,"20,218","3,393","1,074"
AL,01,01680,Greene County School District,"8,330","1,360",650
AL,01,01690,Guntersville City School District,"8,420","1,331",361
AL,01,01710,Hale County School District,"14,812","2,443",817
AL,01,01720,Haleyville City School District,"8,378","1,322",382
AL,01,01730,Hartselle City School District,"13,778","2,498",299
AL,01,01740,Henry County School District,"17,140","2,659",677
AL,01,01760,Homewood City School District,"25,209","3,814",322
AL,01,00007,Hoover City School District,"82,783","14,679","1,038"
AL,01,01770,Houston County School District,"38,021","6,758","1,398"
AL,01,01800,Huntsville City School District,"194,621","27,468","5,737"
AL,01,01830,Jackson County School District,"37,505","6,056","1,260"
AL,01,01860,Jacksonville City School District,"12,733","1,605",307
AL,01,01890,Jasper City School District,"13,758","2,086",418
AL,01,01920,Jefferson County School District,"230,873","38,759","6,418"
AL,01,01950,Lamar County School District,"13,946","2,288",552
AL,01,01980,Lanett City School District,"6,386",941,400
AL,01,02010,Lauderdale County School District,"53,095","8,456","1,246"
AL,01,02040,Lawrence County School District,"33,049","5,315","1,247"
AL,01,02070,Lee County School District,"64,944","11,634","2,413"
AL,01,00011,Leeds City School District,"11,900","1,742",302
AL,01,02100,Limestone County School District,"63,471","10,853","1,701"
AL,01,02130,Linden City School District,"4,346",618,220
AL,01,02160,Lowndes County School District,"10,076","1,661",640
AL,01,02190,Macon County School District,"18,755","2,346",967
AL,01,00008,Madison City School District,"46,797","9,683",735
AL,01,02220,Madison County School District,"125,506","22,654","2,513"
AL,01,02250,Marengo County School District,"8,138","1,407",403
AL,01,02310,Marion County School District,"24,115","3,769",984
AL,01,00006,Marshall County School District,"48,481","8,762","2,495"
AL,01,00003,Maxwell AFB School District,"2,484",247,33
AL,01,02350,Midfield City School District,"5,379","1,116",316
AL,01,02370,Mobile County School District,"387,844","66,256","19,458"
AL,01,02400,Monroe County School District,"21,327","3,584","1,125"
AL,01,02430,Montgomery County School District,"218,768","36,836","11,828"
AL,01,02480,Morgan County School District,"49,648","8,392","1,306"
AL,01,02490,Mountain Brook City School District,"20,472","4,697",280
AL,01,02520,Muscle Shoals City School District,"13,171","2,200",306
AL,01,02550,Oneonta City School District,"6,657","1,028",190
AL,01,02580,Opelika City School District,"30,438","5,091","1,327"
AL,01,02610,Opp City School District,"6,539","1,072",366
AL,01,02635,Oxford City School District,"22,600","4,004",745
AL,01,02640,Ozark City School District,"16,803","2,755",765
AL,01,00194,Pelham City School District,"23,467","4,124",367
AL,01,02650,Pell City City School District,"29,328","4,955",997
AL,01,02670,Perry County School District,"9,339","1,488",737
AL,01,02700,Phenix City City School District,"35,705","6,462","2,200"
AL,01,02730,Pickens County School District,"20,176","2,975",890
AL,01,02760,Piedmont City School District,"6,471","1,071",274
AL,01,02790,Pike County School District,"14,889","2,319",770
AL,01,00195,Pike Road City School District,"5,394","1,058",80
AL,01,02820,Randolph County School District,"16,650","2,542",655
AL,01,02850,Roanoke City School District,"6,020","1,055",303
AL,01,02880,Russell County School District,"25,992","4,375","1,283"
AL,01,02910,Russellville City School District,"9,769","1,796",628
AL,01,00185,Saraland City School District,"13,829","2,244",421
AL,01,00189,Satsuma City School District,"6,169","1,033",189
AL,01,02940,Scottsboro City School District,"14,404","2,177",457
AL,01,02970,Selma City School District,"18,576","3,439","1,425"
AL,01,03000,Sheffield City School District,"9,051","1,313",443
AL,01,03030,Shelby County School District,"129,319","22,821","2,010"
AL,01,03062,St. Clair County School District,"56,663","9,537","1,408"
AL,01,03090,Sumter County School District,"12,687","1,741",774
AL,01,03120,Sylacauga City School District,"12,519","2,099",559
AL,01,03150,Talladega City School District,"15,652","2,430",778
AL,01,03180,Talladega County School District,"47,884","7,557","1,788"
AL,01,03210,Tallapoosa County School District,"21,948","3,328",781
AL,01,03240,Tallassee City School District,"9,020","1,535",288
AL,01,03270,Tarrant City School District,"6,397","1,296",406
